processing_method
Washed
Natural
Honey
Wet-Hulled
Anaerobic
Carbonic Maceration
Roasted
Steamed
Pan-Fired
Sun-Dried
Withered
Rolled
Oxidized
Fermented
Aged
Compressed
Blended
Thermal Shock Washed
