varietals
Arabica
Robusta
Liberica
Excelsa
Yabukita
Saemidori
Okumidori
Asatsuyu
Tieguanyin
Longjing
Da Hong Pao
Bai Mudan
Shou Mei
Sheng Pu-erh
Shou Pu-erh
Silver Needle
Jin Jun Mei
Huangshan Maofeng
Sencha
Gyokuro
Castillo
Blend
