vendor_name,order_date,order_number,shipping_cost,total_cost,order_status
Cafune,2025-09-24,CF56621,0,886.82,Received
Eight Ounce Coffee,2025-09-25,RT-227404,0,85.38,Received
Wuyi Origin,2025-02-07,3619,0,246.16,Received
Amazon,2025-01-01,9999,0,25,Received
Eight Ounce Coffee,2025-10-10,RT-227405,0,85.38,Received
